N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,6143,0,0.08817601425999522,0.10175191999999882,0.4079,0.1669,0.09883893877550796,0.07168465306122475,0.3128361102779138,3.3818088168653864
150000,5000,6679,0,0.15409500307643365,0.09840311999999833,0.4056,0.1248,0.09662293877550755,0.04762808163265394,0.24570611725708455,2.5952044388522135
150000,5000,9391,0,0.23373140784836222,0.09993887999999827,0.3812,0.1231,0.09572865306122208,0.02841510204081646,0.45747383378581646,0.12412676893273401
150000,5000,5808,0,0.10304439776541652,0.10336463999999848,0.4191,0.1857,0.1022620408163238,0.06584269387754997,0.34062135594923254,2.15345127323517
150000,5000,3229,0,0.06383561788219283,0.10381679999999827,0.4313,0.2366,0.10146922448979327,0.08124620408163277,0.19715059799433732,1.970930991881941
150000,5000,10969,0,0.3304957102795224,0.09788999999999883,0.3782,0.0042,0.0963768979591816,0.0021394285714285716,0.5183018199110073,4.376470001014528
150000,5000,9697,0,0.1613044179324964,0.09693175999999892,0.4023,0.149,0.09869004081632413,0.04131844897959123,0.36212430572331,0.8860409273298055
150000,5000,10062,0,0.12965569407701139,0.10085415999999904,0.3795,0.1488,0.09754702040816077,0.057859346938775584,0.5545849911037742,2.7143808521461668
150000,5000,9197,0,0.1480409224599869,0.0977787999999992,0.3661,0.1327,0.09355526530612024,0.051567673469386954,0.5300254493013864,2.7097979729013835
150000,5000,10650,0,0.31219904059556214,0.09678383999999916,0.3674,0.1055,0.09344473469387544,0.008015510204081628,0.510247577470569,-2.412123722483217
150000,5000,10198,0,0.1636833439209574,0.09679687999999875,0.4062,0.1404,0.09544848979591603,0.04368359183673471,0.1924692938986763,1.440441092986659
150000,5000,7504,0,0.2741367037750754,0.10675087999999815,0.3983,0.0662,0.09957787755101821,0.022051999999999773,0.4391508428462507,1.7960246344918203
150000,5000,8837,0,0.23744794051903972,0.09850919999999855,0.3621,0.1221,0.0923502040816306,0.029058367346938358,0.5217306720247022,0.24142076232868276
150000,5000,11394,0,0.19774699044720112,0.10395119999999881,0.3785,0.108,0.09740938775509998,0.0418439999999998,0.5597620308363289,2.6893167232012516
150000,5000,7449,0,0.12399373676480296,0.09262543999999871,0.394,0.1361,0.09258285714285501,0.051796000000000356,0.1925108853727336,2.5783506847938895
150000,5000,7778,0,0.11064205457276655,0.1010747199999988,0.3828,0.1501,0.09880955102040628,0.06306367346938785,0.5723538340437313,3.227606354328087
150000,5000,9579,0,0.1876166295660513,0.10831287999999868,0.3954,0.10659999999999997,0.10084269387754827,0.04733910204081709,0.5217547082466529,3.6168498319268827
150000,5000,8173,0,0.2925045054919184,0.09384087999999886,0.39,0.0747,0.09317151020407899,0.009562367346938746,0.25684496508768495,-1.5579571694295202
150000,5000,10061,0,0.11715757589929032,0.10073943999999826,0.3839,0.1465,0.0940265306122426,0.06519371428571433,0.35570876171781185,3.635006534417579
150000,5000,7765,0,0.17966785848249678,0.09600967999999895,0.4024,0.0924,0.09642481632652826,0.037104000000000366,0.268719287717675,2.9190302442194294
150000,5000,9286,0,0.3332793724347536,0.09681599999999832,0.4008,0.0001,0.09682375510203824,4e-06,0.3007593101118446,-1.1027964465679785
150000,5000,8349,0,0.12418154055178199,0.10613279999999875,0.4207,0.155,0.10224693877550765,0.0631232653061224,0.3247996119292682,3.016382674332387
150000,5000,7478,0,0.13129713193994463,0.09311935999999855,0.3727,0.1055,0.09240799999999795,0.05060138775510118,0.4052288059030242,4.199016334301897
150000,5000,6186,0,0.10241555982222594,0.09556423999999868,0.4005,0.1897,0.09408653061224263,0.06152987755101938,0.1915417159843123,1.6580583521935635
150000,5000,6295,0,0.13281953724478668,0.1015558399999987,0.3997,0.176,0.09839134693877316,0.057091918367346235,0.37604953815160597,1.6583693308344294
150000,5000,7811,0,0.16457800479773455,0.09117087999999854,0.3945,0.1185,0.09322971428571189,0.037575020408163316,0.21453738563550223,1.5373488867003788
150000,5000,8525,0,0.11526461299406165,0.10144999999999878,0.3884,0.1811,0.09939591836734471,0.061563918367346517,0.5360527522879489,1.9135959219068797
150000,5000,10988,0,0.22196294665690075,0.10132135999999956,0.376,0.102,0.09602751020407961,0.032997306122448784,0.5275207447474031,1.6417176748695985
150000,5000,10394,0,0.2837949752111877,0.09546623999999927,0.3814,0.0973,0.09530816326530413,0.01120946938775496,0.4372160047669884,-1.7691772769271588
150000,5000,9300,0,0.1429602140932542,0.10087591999999881,0.3937,0.1759,0.09505134693877268,0.056230693877551245,0.2983693905580737,1.581105124821404
150000,5000,8807,0,0.1320797124471449,0.09800671999999874,0.3993,0.1432,0.09397297959183452,0.05630269387755022,0.19846221390922517,2.78521646729164
