n	0.90l	0.90u	0.95l	0.95u	0.99l	0.99u	0.999l	0.999u
150	-1.545 	1.743 	-1.769	2.089 	-2.144	2.743 	-2.477	3.443
175	-1.542 	1.746 	-1.765 	2.095 	-2.138 	2.757	-2.470 	3.470
200	-1.539 	1.748	-1.760 	2.100	-2.132 	2.768	-2.462 	3.492
250	-1.534 	1.752	-1.754 	2.107	-2.122 	2.787	-2.449 	3.529
300	-1.530 	1.755	-1.748 	2.114	-2.114 	2.802	-2.439 	3.558
350	-1.526 	1.757	-1.744	2.119	-2.107 	2.814	-2.430 	3.581
400	-1.523 	1.759	-1.740 	2.123	-2.101 	2.824	-2.422 	3.600
450	-1.521 	1.761	-1.737 	2.127	-2.096 	2.833	-2.415 	3.617
500	-1.519 	1.763	-1.734 	2.130	-2.092 	2.840	-2.409 	3.632
600	-1.515 	1.765	-1.728 	2.135	-2.084 	2.853	-2.398 	3.657
800	-1.510 	1.769	-1.721 	2.143	-2.072 	2.873	-2.382 	3.694
1000	-1.505 	1.772	-1.715 	2.150	-2.062 	2.887	-2.369 	3.722
















